i_reset = 1, o_cnt = x, o_decade = xx, i_cnt_en = 0, o_en_cnt = x, i_time_val = 30, o_time_cnt = x, o_time_en = x, o_clock_h = x, o_clock_m = x, o_clock_s = x
i_reset = 0, o_cnt =  36, o_decade = 36, i_cnt_en = 0, o_en_cnt =   6, i_time_val = 30, o_time_cnt =  5, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 36
i_reset = 0, o_cnt =  37, o_decade = 37, i_cnt_en = 0, o_en_cnt =   6, i_time_val = 30, o_time_cnt =  6, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 37
i_reset = 0, o_cnt =  38, o_decade = 38, i_cnt_en = 0, o_en_cnt =   6, i_time_val = 30, o_time_cnt =  7, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 38
i_reset = 0, o_cnt =  39, o_decade = 39, i_cnt_en = 0, o_en_cnt =   6, i_time_val = 30, o_time_cnt =  8, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 39
i_reset = 0, o_cnt =  40, o_decade = 40, i_cnt_en = 1, o_en_cnt =   6, i_time_val = 30, o_time_cnt =  9, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 40
i_reset = 0, o_cnt =  41, o_decade = 41, i_cnt_en = 0, o_en_cnt =   7, i_time_val = 30, o_time_cnt = 10, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 41
i_reset = 0, o_cnt =  42, o_decade = 42, i_cnt_en = 0, o_en_cnt =   7, i_time_val = 30, o_time_cnt = 11, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 42
i_reset = 0, o_cnt =  43, o_decade = 43, i_cnt_en = 0, o_en_cnt =   7, i_time_val = 30, o_time_cnt = 12, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 43
i_reset = 0, o_cnt =  44, o_decade = 44, i_cnt_en = 0, o_en_cnt =   7, i_time_val = 30, o_time_cnt = 13, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 44
i_reset = 0, o_cnt =  45, o_decade = 45, i_cnt_en = 0, o_en_cnt =   7, i_time_val = 30, o_time_cnt = 14, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 45
i_reset = 0, o_cnt =  46, o_decade = 46, i_cnt_en = 1, o_en_cnt =   7, i_time_val = 30, o_time_cnt = 15, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 46
i_reset = 0, o_cnt =  47, o_decade = 47, i_cnt_en = 0, o_en_cnt =   8, i_time_val = 30, o_time_cnt = 16, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 47
i_reset = 0, o_cnt =  48, o_decade = 48, i_cnt_en = 0, o_en_cnt =   8, i_time_val = 30, o_time_cnt = 17, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 48
i_reset = 0, o_cnt =  49, o_decade = 49, i_cnt_en = 0, o_en_cnt =   8, i_time_val = 30, o_time_cnt = 18, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 49
i_reset = 0, o_cnt =  50, o_decade = 50, i_cnt_en = 0, o_en_cnt =   8, i_time_val = 30, o_time_cnt = 19, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 50
i_reset = 0, o_cnt =  51, o_decade = 51, i_cnt_en = 0, o_en_cnt =   8, i_time_val = 30, o_time_cnt = 20, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 51
i_reset = 0, o_cnt =  52, o_decade = 52, i_cnt_en = 1, o_en_cnt =   8, i_time_val = 30, o_time_cnt = 21, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 52
